Data,Type,data_type,data_shape,data_size
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,Dataset,float64,"(2592,)",2592
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,Dataset,int16,"(2048, 2592)",5308416
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,Dataset,float64,"(2048,)",2048
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,Group,,,
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02,Group,,,
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,Group,,,
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,Dataset,float64,"(1280,)",1280
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,Dataset,int16,"(960, 1280)",1228800
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,Dataset,float64,"(960,)",960
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,Group,,,
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7,Group,,,
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,Group,,,
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,Dataset,float64,"(1920,)",1920
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1920)",2304000
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,Group,,,
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3,Group,,,
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,Group,,,
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,Dataset,float64,"(1920,)",1920
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1920)",2304000
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,Group,,,
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04,Group,,,
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,Group,,,
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,Dataset,float64,"(1600,)",1600
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1600)",1920000
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,Group,,,
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4,Group,,,
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,Group,,,
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,Dataset,float64,"(1920,)",1920
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1920)",2304000
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,Group,,,
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5,Group,,,
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,Group,,,
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,Dataset,float64,"(1920,)",1920
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1920)",2304000
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,Group,,,
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06,Group,,,
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,Group,,,
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
